time,nav,benchmark,net
2007/1/5,1,1,1
2007/1/12,1.044051908,1.0486588,0.995393108
2007/1/19,1.18065583,1.155922934,1.024732895
2007/1/26,1.215709341,1.212283568,1.003425772
2007/2/2,1.155646385,1.108602367,1.047044018
2007/2/9,1.237116863,1.156478682,1.080638181
2007/2/16,1.375007881,1.291310219,1.083697662
2007/3/2,1.333359988,1.210260782,1.123099206
2007/3/9,1.387350883,1.259787938,1.127562945
2007/3/16,1.407987481,1.256330434,1.151657046
2007/3/23,1.507389655,1.31038076,1.197008895
2007/3/30,1.516283485,1.341987946,1.174295539
2007/4/6,1.633971551,1.433755788,1.200215762
2007/4/13,1.754130267,1.528901052,1.225229215
2007/4/20,1.870555327,1.586815078,1.283740249
2007/4/27,2.015188864,1.674249343,1.340939521
2007/4/30,2.049333052,1.716792023,1.332541029
2007/5/11,2.153907191,1.786213694,1.367693497
2007/5/18,2.168691114,1.821920967,1.346770147
2007/5/25,2.336260183,1.922564853,1.41369533
2007/6/1,2.085972496,1.835103091,1.250869405
2007/6/8,2.131239739,1.851463397,1.279776342
2007/6/15,2.280177948,1.977622953,1.302554995
2007/6/22,2.218609024,1.954488507,1.264120517
2007/6/29,1.982609079,1.815866115,1.166742964
2007/7/6,1.934311444,1.789914337,1.144397108
2007/7/13,1.964033578,1.84290382,1.121129758
2007/7/20,2.005041768,1.916115864,1.088925904
2007/7/27,2.194124977,2.077851475,1.116273502
2007/8/3,2.285478058,2.218349516,1.067128542
2007/8/10,2.341570032,2.280245918,1.061324114
2007/8/17,2.333111897,2.231955687,1.101156211
2007/8/24,2.569462449,2.51706488,1.052397569
2007/8/31,2.68091084,2.555287973,1.125622866
2007/9/7,2.758840393,2.55431445,1.204525943
2007/9/14,2.843834368,2.603754288,1.24008008
2007/9/21,2.930791536,2.637919265,1.292872271
2007/9/28,2.934887588,2.692295224,1.242592364
2007/10/12,2.914211522,2.767749555,1.146461967
2007/10/19,2.884288968,2.708334238,1.17595473
2007/10/26,2.6361285,2.602562229,1.033566272
2007/11/2,2.690372099,2.640250318,1.050121781
2007/11/9,2.552322181,2.431649543,1.120672638
2007/11/16,2.525411566,2.415795778,1.109615788
2007/11/23,2.541431327,2.342708682,1.198722645
2007/11/30,2.49336743,2.285419872,1.207947559
2007/12/7,2.647994288,2.43204754,1.215946748
2007/12/14,2.692345545,2.401318357,1.291027188
2007/12/21,2.803992305,2.461234908,1.342757397
2007/12/28,2.910783365,2.575290067,1.335493298
2008/1/4,3.024130877,2.645421859,1.378709018
2008/1/11,3.076403594,2.7493819,1.327021694
2008/1/18,3.019342325,2.612047086,1.407295239
2008/1/25,2.861584097,2.449452767,1.41213133
2008/2/1,2.578808377,2.205597229,1.373211149
2008/2/5,2.757048915,2.374388231,1.382660684
2008/2/15,2.73823045,2.322036989,1.416193461
2008/2/22,2.738946016,2.268454611,1.470491405
2008/2/29,2.72750106,2.255095922,1.472405138
2008/3/7,2.723400395,2.229592794,1.4938076
2008/3/14,2.449725589,2.005839693,1.443885896
2008/3/21,2.365005333,1.947929526,1.417075807
2008/3/28,2.283613793,1.890196408,1.393417386
2008/4/3,2.104921157,1.761169347,1.34375181
2008/4/11,2.192670779,1.825345666,1.367325113
2008/4/18,1.935116713,1.578718625,1.356398087
2008/4/25,2.176391138,1.834676632,1.341714506
2008/4/30,2.252838301,1.909957774,1.342880527
2008/5/9,2.214650344,1.87127011,1.343380234
2008/5/16,2.245763628,1.898863081,1.346900547
2008/5/23,2.087727581,1.772964031,1.314763549
2008/5/30,2.058413975,1.742177441,1.316236535
2008/6/6,1.998873855,1.68340519,1.315468665
2008/6/13,1.729875345,1.437185311,1.292690033
2008/6/20,1.631075456,1.374736538,1.256338917
2008/6/27,1.624129442,1.358504556,1.265624885
2008/7/4,1.633934645,1.322723955,1.31121069
2008/7/11,1.735924339,1.424826196,1.311098142
2008/7/18,1.68284174,1.358234883,1.324606857
2008/7/25,1.736223175,1.417929521,1.318293653
2008/8/1,1.680364939,1.37045265,1.309912289
2008/8/8,1.560561443,1.250172827,1.310388616
2008/8/15,1.482629839,1.180778172,1.301851666
2008/8/22,1.458610192,1.160185114,1.298425078
2008/8/29,1.444939087,1.153774719,1.291164369
2008/9/5,1.347136172,1.053331037,1.293805135
2008/9/12,1.314526145,1.00239425,1.312131895
2008/9/19,1.352104641,1.000110957,1.351993684
2008/9/26,1.404644926,1.082384775,1.322260151
2008/10/10,1.246824163,0.919955444,1.326868719
2008/10/17,1.198881236,0.884402062,1.314479174
2008/10/24,1.173695976,0.859478321,1.314217655
2008/10/31,1.088889094,0.802582683,1.286306411
2008/11/7,1.089555965,0.809417126,1.280138839
2008/11/14,1.243916279,0.937657359,1.306258919
2008/11/21,1.227560776,0.926600778,1.300959998
2008/11/28,1.180237049,0.882791745,1.297445305
2008/12/5,1.285279176,0.971195673,1.314083503
2008/12/12,1.245282825,0.945726315,1.299556511
2008/12/19,1.31056439,0.989980621,1.320583769
2008/12/26,1.21315924,0.898312158,1.314847082
2008/12/31,1.193108012,0.876905257,1.316202755
2009/1/9,1.24260099,0.925457443,1.317143548
2009/1/16,1.276140843,0.96011883,1.316022014
2009/1/23,1.291779755,0.980606238,1.311173518
2009/2/6,1.416794172,1.079308384,1.337485788
2009/2/13,1.528182078,1.157356686,1.370825391
2009/2/20,1.515542802,1.130946609,1.384596193
2009/2/27,1.379292051,1.032614479,1.346677571
2009/3/6,1.464578198,1.103089755,1.361488443
2009/3/13,1.408928071,1.063939451,1.34498862
2009/3/20,1.505361363,1.148081199,1.357280164
2009/3/27,1.550985877,1.205534032,1.345451845
2009/4/3,1.580672642,1.240061788,1.340610854
2009/4/10,1.588862696,1.252135311,1.336727385
2009/4/17,1.630908354,1.278746075,1.352162279
2009/4/24,1.608716579,1.24121236,1.367504219
2009/4/30,1.612647067,1.265351687,1.34729538
2009/5/8,1.69775586,1.345574738,1.352181122
2009/5/15,1.69408679,1.348901988,1.345184801
2009/5/22,1.667585216,1.322157112,1.345428104
2009/5/27,1.67425546,1.331339974,1.342915486
2009/6/5,1.740806693,1.417979693,1.322827
2009/6/12,1.723350161,1.402050188,1.321299973
2009/6/19,1.807609092,1.48585376,1.321755332
2009/6/26,1.836298883,1.509212532,1.327086352
2009/7/3,1.871283196,1.605076119,1.266207077
2009/7/10,1.938746314,1.639412355,1.299333959
2009/7/17,1.994138612,1.69802589,1.296112722
2009/7/24,2.050355656,1.769301982,1.281053674
2009/7/31,2.119988026,1.801655955,1.318332072
2009/8/7,2.088618963,1.715048558,1.373570405
2009/8/14,1.930375831,1.613435008,1.316940823
2009/8/21,1.900833614,1.545491955,1.355341659
2009/8/28,1.874816944,1.469827771,1.404989172
2009/9/4,1.867859653,1.484474522,1.383385131
2009/9/11,1.930717211,1.562139783,1.368577428
2009/9/18,1.935537031,1.543593633,1.391943398
2009/9/25,1.863357122,1.475494758,1.387862365
2009/9/30,1.818539415,1.449577714,1.368961701
2009/10/9,1.893719985,1.526235682,1.367484303
2009/10/16,1.916397176,1.563864917,1.352532259
2009/10/23,1.984010994,1.646620673,1.337390321
2009/10/30,1.946850766,1.582516717,1.364334049
2009/11/6,2.057340626,1.680278626,1.377062
2009/11/13,2.10999368,1.697501499,1.412492181
2009/11/20,2.185133243,1.751672912,1.433460332
2009/11/27,2.058689745,1.63179012,1.426899625
2009/12/4,2.194391008,1.757692547,1.436698461
2009/12/11,2.175011264,1.724660774,1.45035049
2009/12/18,2.077076103,1.636240444,1.440835659
2009/12/25,2.137108816,1.652183457,1.484925359
2009/12/31,2.195430014,1.724981101,1.470448912
2010/1/8,2.146695146,1.678883951,1.467811195
2010/1/15,2.20779967,1.680142102,1.527657569
2010/1/22,2.155903702,1.623920405,1.531983297
2010/1/29,2.082525887,1.54574812,1.536777767
2010/2/5,2.051437719,1.521111901,1.530325818
2010/2/12,2.102000971,1.568481193,1.533519778
2010/2/26,2.141735391,1.583140968,1.558594423
2010/3/5,2.117691141,1.572575008,1.545116133
2010/3/12,2.080261807,1.559724307,1.5205375
2010/3/19,2.114370115,1.589028903,1.525341212
2010/3/26,2.110197688,1.579926122,1.530271566
2010/4/2,2.166727408,1.643771501,1.522955907
2010/4/9,2.173646768,1.630178838,1.54346793
2010/4/16,2.164803683,1.619161332,1.545642351
2010/4/23,2.101959964,1.538920914,1.563039051
2010/4/30,2.003807468,1.479757902,1.524049565
2010/5/7,1.897601777,1.368523453,1.529078325
2010/5/14,1.906056324,1.383591356,1.522464968
2010/5/21,1.828168802,1.335719865,1.492448937
2010/5/28,1.893173059,1.375042393,1.518130666
2010/6/4,1.832309448,1.323948819,1.508360629
2010/6/11,1.853196187,1.330931847,1.522264339
2010/6/18,1.78998392,1.30068412,1.489299801
2010/6/25,1.807517852,1.320039288,1.487478564
2010/7/2,1.694746997,1.222502669,1.472244328
2010/7/9,1.75909566,1.277015635,1.482080025
2010/7/16,1.735475316,1.262072196,1.47340312
2010/7/23,1.840878301,1.347435432,1.493442869
2010/7/30,1.8910361,1.383988387,1.507047713
2010/8/6,1.919827382,1.397888352,1.521939031
2010/8/13,1.896946183,1.377572685,1.519373498
2010/8/20,1.916710877,1.398213503,1.518497374
2010/8/27,1.895198275,1.379029111,1.516169164
2010/9/3,1.933504126,1.408764991,1.524739135
2010/9/10,1.953386201,1.414722394,1.538663807
