time,nav,benchmark,net
2007/1/5,1,1,1
2007/1/12,1.058007229,1.062852059,0.99515517
2007/1/19,1.22475031,1.219807114,1.004943196
2007/1/26,1.246867101,1.234849405,1.012017696
2007/2/2,1.216119659,1.201431254,1.014688405
2007/2/9,1.29741821,1.291958938,1.005459273
2007/2/16,1.445049165,1.435439077,1.009610088
2007/3/2,1.425944117,1.414127282,1.011816835
2007/3/9,1.49316899,1.490022169,1.003146821
2007/3/16,1.554094849,1.531148985,1.022945864
2007/3/23,1.6660009,1.636848303,1.029152596
2007/3/30,1.690098112,1.652699982,1.03739813
2007/4/6,1.850351597,1.79770796,1.052643637
2007/4/13,1.974598117,1.897023115,1.077575001
2007/4/20,2.138702451,2.041480958,1.097221493
2007/4/27,2.296273628,2.172192773,1.124080855
2007/4/30,2.33377258,2.204882306,1.128890274
2007/5/11,2.448819425,2.321073723,1.127745702
2007/5/18,2.506156894,2.392117934,1.114038959
2007/5/25,2.743194854,2.626333046,1.116861808
2007/6/1,2.300105419,2.236937545,1.063167874
2007/6/8,2.310916875,2.260900606,1.050016269
2007/6/15,2.494485096,2.438063232,1.056421864
2007/6/22,2.367297621,2.328875019,1.038422601
2007/6/29,2.024324277,2.025154831,0.999169446
2007/7/6,2.023902274,2.028482187,0.995420087
2007/7/13,2.044556483,2.064895014,0.979661469
2007/7/20,2.121424814,2.139959051,0.981465764
2007/7/27,2.369370066,2.411650546,0.95771952
2007/8/3,2.437220048,2.48975388,0.947466169
2007/8/10,2.407684165,2.456296192,0.951387973
2007/8/17,2.450426305,2.480059306,0.970366999
2007/8/24,2.678036982,2.678915545,0.999121436
2007/8/31,2.983011504,2.766283624,1.216727879
2007/9/7,3.004239092,2.78977732,1.214461773
2007/9/14,3.00219714,2.788344371,1.21385277
2007/9/21,3.052193928,2.840391985,1.211801943
2007/9/28,3.086195969,2.871348085,1.214847884
2007/10/12,2.976451665,2.762753498,1.213698166
2007/10/19,2.949959651,2.719017213,1.230942438
2007/10/26,2.620724561,2.388594021,1.232130539
2007/11/2,2.690960632,2.445462941,1.245497692
2007/11/9,2.57042502,2.345831486,1.224593534
2007/11/16,2.630207386,2.381975459,1.248231928
2007/11/23,2.617967653,2.368844519,1.249123134
2007/11/30,2.57646103,2.328715175,1.247745855
2007/12/7,2.712083129,2.463869865,1.248213263
2007/12/14,2.795992111,2.541425324,1.254566787
2007/12/21,2.928858935,2.649872492,1.278986444
2007/12/28,3.056955215,2.794505994,1.262449221
2008/1/4,3.242537618,2.961370254,1.281167364
2008/1/11,3.265105817,3.036923425,1.228182392
2008/1/18,3.260631491,3.003401912,1.257229579
2008/1/25,3.148770091,2.87871334,1.270056752
2008/2/1,2.805582207,2.51736229,1.288219917
2008/2/5,3.021343027,2.733162005,1.288181023
2008/2/15,3.056741763,2.759720414,1.297021349
2008/2/22,3.110068838,2.840592496,1.269476342
2008/2/29,3.165719382,2.856644121,1.309075261
2008/3/7,3.199124629,2.889572572,1.309552056
2008/3/14,2.931929487,2.633370141,1.298559346
2008/3/21,2.823297094,2.488516359,1.334780735
2008/3/28,2.711294663,2.395657662,1.315637
2008/4/3,2.341100737,2.027005182,1.314095555
2008/4/11,2.491459195,2.181540547,1.309918648
2008/4/18,2.176236797,1.885524506,1.290712291
2008/4/25,2.413711463,2.121650969,1.292060494
2008/4/30,2.50376536,2.204593682,1.299171677
2008/5/9,2.549107585,2.251508776,1.297598809
2008/5/16,2.602414513,2.29989692,1.302517593
2008/5/23,2.463663055,2.163060761,1.300602295
2008/5/30,2.415050439,2.12125616,1.293794279
2008/6/6,2.339509104,2.050253745,1.289255358
2008/6/13,1.981722079,1.71993674,1.261785339
2008/6/20,1.807056768,1.561321114,1.245735654
2008/6/27,1.818882666,1.577376128,1.241506538
2008/7/4,1.881076169,1.661184145,1.219892023
2008/7/11,1.980874805,1.769430802,1.211444002
2008/7/18,1.938675552,1.703383555,1.235291997
2008/7/25,2.048381739,1.791704486,1.256677253
2008/8/1,2.001080329,1.730502831,1.270577498
2008/8/8,1.813842039,1.531771982,1.282070057
2008/8/15,1.700226738,1.39720527,1.303021469
2008/8/22,1.665110064,1.345697059,1.319413005
2008/8/29,1.614091212,1.303129386,1.310961825
2008/9/5,1.52491726,1.213652268,1.311264992
2008/9/12,1.480344986,1.151476299,1.328868688
2008/9/19,1.516262106,1.178681427,1.337580679
2008/9/26,1.51541102,1.206456459,1.308954561
2008/10/10,1.324990008,1.03780285,1.287187159
2008/10/17,1.268197604,0.975105551,1.293092054
2008/10/24,1.276202601,0.983454158,1.292748443
2008/10/31,1.157063139,0.88226154,1.274801599
2008/11/7,1.15676692,0.881809119,1.274957801
2008/11/14,1.344359148,1.054793205,1.289565943
2008/11/21,1.367936888,1.08504215,1.282894738
2008/11/28,1.325368994,1.040088112,1.285280882
2008/12/5,1.478425552,1.18536325,1.293062302
2008/12/12,1.426939501,1.147710078,1.279229423
2008/12/19,1.548298972,1.239776896,1.308522076
2008/12/26,1.419621689,1.120465977,1.299155712
2008/12/31,1.390354254,1.095430887,1.294923367
2009/1/9,1.485736829,1.190508762,1.295228067
2009/1/16,1.539158106,1.240138381,1.299019725
2009/1/23,1.541787051,1.264113868,1.277673183
2009/2/6,1.717555016,1.408514664,1.309040351
2009/2/13,1.906362614,1.58432624,1.322036374
2009/2/20,1.878956895,1.56848021,1.310476685
2009/2/27,1.680945266,1.365141558,1.315803708
2009/3/6,1.82675371,1.498732826,1.328020884
2009/3/13,1.773153286,1.451378302,1.321774983
2009/3/20,1.886944467,1.572519239,1.314425227
2009/3/27,1.94080735,1.625484686,1.315322663
2009/4/3,1.964597452,1.657325294,1.307272158
2009/4/10,2.008765692,1.69975628,1.309009412
2009/4/17,2.104918218,1.761910787,1.343007432
2009/4/24,2.089467448,1.715223881,1.374243567
2009/4/30,2.102868099,1.743157627,1.359710471
2009/5/8,2.216770362,1.839951425,1.376818936
2009/5/15,2.226717663,1.847378811,1.379338852
2009/5/22,2.210810584,1.838226465,1.37258412
2009/5/27,2.226832557,1.85077338,1.376059177
2009/6/5,2.248075937,1.895411118,1.352664818
2009/6/12,2.238858837,1.86932151,1.369537328
2009/6/19,2.321840501,1.939623547,1.382216954
2009/6/26,2.343804826,1.947760347,1.39604448
2009/7/3,2.405290453,2.024800124,1.380490328
2009/7/10,2.503393452,2.101114108,1.402279344
2009/7/17,2.570481106,2.176174755,1.39430635
2009/7/24,2.588114859,2.207298606,1.380816253
2009/7/31,2.609486201,2.218943504,1.390542697
2009/8/7,2.629794095,2.198915545,1.43087855
2009/8/14,2.464835408,2.038830257,1.42600515
2009/8/21,2.428373768,1.958820091,1.469553677
2009/8/28,2.48240273,1.994611616,1.487791114
2009/9/4,2.458747668,1.970693176,1.488054493
2009/9/11,2.54435501,2.056971152,1.487383858
2009/9/18,2.597009058,2.112276084,1.484732973
2009/9/25,2.507643435,1.997662209,1.509981226
2009/9/30,2.442773069,1.920740479,1.52203259
2009/10/9,2.549271486,2.020047727,1.529223759
2009/10/16,2.626503013,2.099378415,1.527124597
2009/10/23,2.727121153,2.207562942,1.51955821
2009/10/30,2.715231002,2.161952583,1.553278419
2009/11/6,2.93466298,2.341257007,1.593405973
2009/11/13,3.047115185,2.410092207,1.637022978
2009/11/20,3.194832173,2.546374843,1.64845733
2009/11/27,3.028445209,2.380907948,1.64753726
2009/12/4,3.200897043,2.545126026,1.655771018
2009/12/11,3.215331194,2.561325633,1.654005561
2009/12/18,2.995042685,2.374210311,1.620832374
2009/12/25,3.127010506,2.471762098,1.655248408
2009/12/31,3.202712475,2.533362516,1.669349959
2010/1/8,3.205065892,2.54985357,1.655212322
2010/1/15,3.398559634,2.681567376,1.716992258
2010/1/22,3.31005871,2.563086177,1.746972533
2010/1/29,3.239888526,2.470890015,1.76899851
2010/2/5,3.210629803,2.435105268,1.775524535
2010/2/12,3.282379642,2.49436959,1.788010052
2010/2/26,3.431452487,2.617755687,1.8136968
2010/3/5,3.365469121,2.600763072,1.764706049
2010/3/12,3.273188135,2.537658538,1.735529597
2010/3/19,3.358713254,2.63426651,1.724446744
2010/3/26,3.39459498,2.647273189,1.747321791
2010/4/2,3.478022606,2.735522953,1.742499653
2010/4/9,3.549734873,2.789746255,1.759988618
2010/4/16,3.522473452,2.766867649,1.755605803
2010/4/23,3.539801185,2.747377964,1.792423221
2010/4/30,3.256116327,2.507056581,1.749059746
2010/5/7,3.214370659,2.457395897,1.756974763
2010/5/14,3.11772752,2.363682628,1.754044892
2010/5/21,2.946727377,2.249331394,1.697395983
2010/5/28,3.137118985,2.392195315,1.744923671
2010/6/4,3.011284644,2.309569466,1.701715178
2010/6/11,3.101784503,2.371112272,1.730672231
2010/6/18,2.912445997,2.243627275,1.668818722
2010/6/25,2.962773853,2.275340234,1.687433619
2010/7/2,2.662011198,2.025205665,1.636805532
2010/7/9,2.810917419,2.150611559,1.66030586
2010/7/16,2.778395385,2.122273401,1.656121984
2010/7/23,2.937041446,2.268016775,1.66902467
2010/7/30,3.059119685,2.367234782,1.691884903
2010/8/6,3.173249557,2.460363462,1.712886095
2010/8/13,3.150518547,2.441746989,1.708771558
2010/8/20,3.149320057,2.466346037,1.68297402
2010/8/27,3.21739057,2.502968977,1.714421593
2010/9/3,3.366535837,2.633733885,1.732801952
2010/9/10,3.407699412,2.657654019,1.750045392
2010/9/17,3.323825279,2.600143464,1.723681814
2010/9/21,3.307379669,2.568081447,1.739298222
2010/9/30,3.369892261,2.632403733,1.737488528
2010/10/8,3.437746055,2.693043957,1.744702098
2010/10/15,3.32162596,2.649825612,1.671800348
2010/10/22,3.438481702,2.755151584,1.683330119
2010/10/29,3.497946069,2.855443878,1.64250219
2010/11/5,3.654968913,3.000194863,1.65477405
2010/11/12,3.532425654,2.886902667,1.645522987
2010/11/19,3.525382825,2.869868256,1.655514569
2010/11/26,3.614991849,2.95268106,1.662310788
2010/12/3,3.538329346,2.880789619,1.657539727
2010/12/10,3.484959254,2.846222059,1.638737194
2010/12/17,3.600210294,2.953070221,1.647140073
2010/12/24,3.442764357,2.819324757,1.623439599
2010/12/31,3.431402935,2.788356797,1.643046138
2011/1/7,3.459838343,2.810061707,1.649776636
2011/1/14,3.381196508,2.667886302,1.713310206
2011/1/21,3.266645176,2.545261582,1.721383594
2011/1/28,3.30277357,2.568918511,1.733855059
2011/2/1,3.339904426,2.615445008,1.724459418
2011/2/11,3.434917816,2.703684604,1.731233211
2011/2/18,3.511629325,2.791020489,1.720608836
2011/2/25,3.556434654,2.842625284,1.71380937
2011/3/4,3.644823407,2.862294582,1.782528825
2011/3/11,3.688842447,2.903032237,1.78581021
2011/3/18,3.679575797,2.895795761,1.783780036
2011/3/25,3.742915515,2.944037617,1.798877898
2011/4/1,3.693383204,2.860857115,1.83252609
2011/4/8,3.765984673,2.908145554,1.857839119
2011/4/15,3.843526032,2.915836146,1.927689886
2011/4/22,3.878641617,2.917365679,1.961275939
2011/4/29,3.705853269,2.731959502,1.973893767
2011/5/6,3.750701615,2.739360341,2.011341274
2011/5/13,3.83547584,2.769067058,2.066408782
2011/5/20,3.776126368,2.746825005,2.029301363
2011/5/27,3.450289086,2.501528686,1.9487604
2011/6/3,3.483409004,2.545190415,1.938218589
2011/6/10,3.457972815,2.52420904,1.933763775
2011/6/17,3.329898861,2.44983239,1.880066471
2011/6/24,3.434520316,2.546875838,1.887644477
2011/7/1,3.479968723,2.600853443,1.879115279
2011/7/8,3.584090308,2.686631554,1.897458754
2011/7/15,3.645712064,2.765383866,1.880328198
2011/7/22,3.605970777,2.711666643,1.894304134
2011/7/29,3.504103507,2.614168514,1.889934993
2011/8/5,3.45138085,2.575025346,1.876355503
2011/8/12,3.424742905,2.545015321,1.879727584
2011/8/19,3.342721775,2.482395402,1.860326373
2011/8/26,3.443290363,2.558874313,1.88441605
2011/9/2,3.31864471,2.454130671,1.864514039
2011/9/9,3.252385272,2.391306288,1.861078984
2011/9/16,3.229644461,2.380613112,1.849031348
2011/9/23,3.167835934,2.325779805,1.842056129
2011/9/30,3.005023202,2.178414267,1.826608935
