,time,nav,benchmark,net
0,2018-01-02,1,1,1
1,2018-01-03,1.016352557980060184157746724,1.008846804364339261208136786,1.007505753615720922949609938
2,2018-01-04,1.022433603571673484148305969,1.013470767802180274563621347,1.008962835769493209584684622
3,2018-01-05,1.018523744043457067382347395,1.013426549572583434271970538,1.005097194470873633110376857
4,2018-01-08,1.025789750477922087281518309,1.017995240223428397262891588,1.007794510254493690018626721
5,2018-01-09,1.038836794427280473006925085,1.017927333656547535386427846,1.020909460770732937620497239
6,2018-01-10,1.034763016819881118292737979,1.011640448941368206777075375,1.023122567878512911515662604
7,2018-01-11,1.051441759240306391514068767,1.014798893912571084752133135,1.036642865327735306761935632
8,2018-01-12,1.048450701841861848082112621,1.010602899768328061362268901,1.037847802073533786719843720
9,2018-01-15,1.049535167115046456683319343,0.9875478307010326535833347810,1.061987336414013803099984562
10,2018-01-16,1.057306015268536026426213782,0.9950886180697795247487851831,1.062217397198756501677428599
11,2018-01-17,1.058612605147243373161508601,0.9897713759607594796777754440,1.068841229186483893483733157
12,2018-01-18,1.062270579331157352762159579,0.9928255922479126626796562980,1.069444987083244690082503281
13,2018-01-19,1.075513111694667135019148007,0.9905483534236753876596396530,1.084964758270991747359508354
14,2018-01-22,1.088498540729707478082743645,1.002433581850311817479782004,1.086064958879395660602961641
15,2018-01-23,1.068741851279408057116785854,1.003595889599714476574603260,1.065145961679693580542182594
16,2018-01-24,1.104192715250363106425697718,1.009802233968128131795591758,1.094390481282234974630105960
17,2018-01-25,1.114515366564974517736102470,1.007973494329801665448033315,1.106541872235172852288069155
18,2018-01-26,1.109014388947616951293239147,1.008117203575991396395898443,1.100897185371625554897340704
19,2018-01-29,1.113310142486909559058611128,0.9964704377446807838628729531,1.116839704742228775195738175
20,2018-01-30,1.099267040247252946142454660,0.9970326409495548961424332344,1.102234399297698050000021426
21,2018-01-31,1.077001839475786403200208239,0.9774344899032410383071998332,1.099567349572545364893008406
22,2018-02-01,1.083610778402561952947726519,0.9451235978478355966223589478,1.138487180554726356325367571
